sampleID	originalName	seqDate
sorgNG	sorgNG	05.21.18
sor5.9	9	05.21.18
sor5.8	8	05.21.18
sor5.7	7	05.21.18
sor5.6	6	05.21.18
sor5.5	5	05.21.18
sor5.42	42	05.21.18
sor5.41	41	05.21.18
sor5.40	40	05.21.18
sor5.4	4	05.21.18
sor5.39	39	05.21.18
sor5.38	38	05.21.18
sor5.37	37	05.21.18
sor5.36	36	05.21.18
sor5.33	33	05.21.18
sor5.32	32	05.21.18
sor5.31	31	05.21.18
sor5.30	30	05.21.18
sor5.3	3	05.21.18
sor5.29	29	05.21.18
sor5.28	28	05.21.18
sor5.27	27	05.21.18
sor5.26	26	05.21.18
sor5.23	23	05.21.18
sor5.22	22	05.21.18
sor5.21	21	05.21.18
sor5.20	20	05.21.18
sor5.2	2	05.21.18
sor5.19	19	05.21.18
sor5.18	18	05.21.18
sor5.17	17	05.21.18
sor5.16	16	05.21.18
sor5.15	15	05.21.18
sor5.14	14	05.21.18
sor5.13	13	05.21.18
sor5.12	12	05.21.18
sor5.11	11	05.21.18
sor5.10	10	05.21.18
sor5.1	1	05.21.18
sor3.YC3	YC3	03.02.18
sor3.YC2	YC2	03.02.18
sor3.YC1	YC1	03.02.18
sor3.XH2	XH2	03.02.18
sor3.XH1	XH1	03.02.18
sor3.TK2	TK2	03.02.18
sor3.TK1	TK1	03.02.18
sor3.TB3	TB3	03.02.18
sor3.TB2	TB2	03.02.18
sor3.TB1	TB1	03.02.18
sor3.P9	P9	03.02.18
sor3.P8	P8	03.02.18
sor3.P7	P7	03.02.18
sor3.P6	P6	03.02.18
sor3.P5	P5	03.02.18
sor3.P4	P4	03.02.18
sor3.P3	P3	03.02.18
sor3.P2	P2	03.02.18
sor3.P12	P12	03.02.18
sor3.P11	P11	03.02.18
sor3.P10	P10	03.02.18
sor3.P1	P1	03.02.18
sor3.neg	neg	03.02.18
sor3.MN	MN	03.02.18
sor3.JD3	JD3	03.02.18
sor3.JD2	JD2	03.02.18
sor3.JD1	JD1	03.02.18
sor3.91	91	03.02.18
sor3.90	90	03.02.18
sor3.9	9	03.02.18
sor3.89	89	03.02.18
sor3.88	88	03.02.18
sor3.84	84	03.02.18
sor3.82	82	03.02.18
sor3.81	81	03.02.18
sor3.80	80	03.02.18
sor3.8	8	03.02.18
sor3.79	79	03.02.18
sor3.7	7	03.02.18
sor3.67	67	03.02.18
sor3.66	66	03.02.18
sor3.65	65	03.02.18
sor3.64	64	03.02.18
sor3.61	61	03.02.18
sor3.60	60	03.02.18
sor3.6	6	03.02.18
sor3.59	59	03.02.18
sor3.58	58	03.02.18
sor3.57	57	03.02.18
sor3.55	55	03.02.18
sor3.54	54	03.02.18
sor3.53	53	03.02.18
sor3.52	52	03.02.18
sor3.51	51	03.02.18
sor3.50	50	03.02.18
sor3.5	5	03.02.18
sor3.49	49	03.02.18
sor3.4	4	03.02.18
sor3.3	3	03.02.18
sor3.2	2	03.02.18
sor3.13	13	03.02.18
sor3.12	12	03.02.18
sor3.11	11	03.02.18
sor3.10	10	03.02.18
sor3.1	1	03.02.18
